metric-type;metric;value;number of samples
sep;pixel_accuracy;0.9976;21
sep;mean_accuracy;0.8706;21
sep;mean_IU;0.8124;21
sep;frequency_weighted_IU;0.9958;21
sep;precision-micro;0.9976;21
sep;recall-micro;0.9976;21
sep;jaccard-micro;0.9953;21
sep;precision-macro;0.8706;21
sep;recall-macro;0.9150;21
sep;jaccard-macro;0.8401;21
sep;precision-weighted;0.9979;21
sep;recall-weighted;0.9976;21
sep;jaccard-weighted;0.9957;21
sep;matthews;0.9151;21
blkx;pixel_accuracy;0.9758;21
blkx;mean_accuracy;0.7716;21
blkx;mean_IU;0.7486;21
blkx;frequency_weighted_IU;0.9552;21
blkx;precision-micro;0.9758;21
blkx;recall-micro;0.9758;21
blkx;jaccard-micro;0.9544;21
blkx;precision-macro;0.7716;21
blkx;recall-macro;0.7844;21
blkx;jaccard-macro;0.7490;21
blkx;precision-weighted;0.9773;21
blkx;recall-weighted;0.9758;21
blkx;jaccard-weighted;0.9543;21
blkx;matthews;0.9576;21
