metric-type;metric;value;number of samples
sep;pixel_accuracy;0.9972;21
sep;mean_accuracy;0.8583;21
sep;mean_IU;0.7961;21
sep;frequency_weighted_IU;0.9952;21
sep;precision-micro;0.9972;21
sep;recall-micro;0.9972;21
sep;jaccard-micro;0.9946;21
sep;precision-macro;0.8583;21
sep;recall-macro;0.9010;21
sep;jaccard-macro;0.8214;21
sep;precision-weighted;0.9975;21
sep;recall-weighted;0.9972;21
sep;jaccard-weighted;0.9951;21
sep;matthews;0.8985;21
blkx;pixel_accuracy;0.9768;21
blkx;mean_accuracy;0.8922;21
blkx;mean_IU;0.8630;21
blkx;frequency_weighted_IU;0.9563;21
blkx;precision-micro;0.9768;21
blkx;recall-micro;0.9768;21
blkx;jaccard-micro;0.9554;21
blkx;precision-macro;0.8922;21
blkx;recall-macro;0.9027;21
blkx;jaccard-macro;0.8651;21
blkx;precision-weighted;0.9774;21
blkx;recall-weighted;0.9768;21
blkx;jaccard-weighted;0.9560;21
blkx;matthews;0.9586;21
