metric-type;metric;value;number of samples
sep;pixel_accuracy;0.9979;21
sep;mean_accuracy;0.8690;21
sep;mean_IU;0.8150;21
sep;frequency_weighted_IU;0.9962;21
sep;precision-micro;0.9979;21
sep;recall-micro;0.9979;21
sep;jaccard-micro;0.9959;21
sep;precision-macro;0.8690;21
sep;recall-macro;0.9019;21
sep;jaccard-macro;0.8380;21
sep;precision-weighted;0.9980;21
sep;recall-weighted;0.9979;21
sep;jaccard-weighted;0.9962;21
sep;matthews;0.9139;21
blkx;pixel_accuracy;0.9886;21
blkx;mean_accuracy;0.9453;21
blkx;mean_IU;0.9267;21
blkx;frequency_weighted_IU;0.9782;21
blkx;precision-micro;0.9886;21
blkx;recall-micro;0.9886;21
blkx;jaccard-micro;0.9776;21
blkx;precision-macro;0.9453;21
blkx;recall-macro;0.9577;21
blkx;jaccard-macro;0.9293;21
blkx;precision-weighted;0.9889;21
blkx;recall-weighted;0.9886;21
blkx;jaccard-weighted;0.9780;21
blkx;matthews;0.9783;21
