metric-type;metric;value;number of samples
sep;pixel_accuracy;0.9973;20
sep;mean_accuracy;0.8948;20
sep;mean_IU;0.8349;20
sep;frequency_weighted_IU;0.9951;20
sep;precision-micro;0.9973;20
sep;recall-micro;0.9973;20
sep;jaccard-micro;0.9946;20
sep;precision-macro;0.8948;20
sep;recall-macro;0.9301;20
sep;jaccard-macro;0.8583;20
sep;precision-weighted;0.9975;20
sep;recall-weighted;0.9973;20
sep;jaccard-weighted;0.9950;20
sep;matthews;0.9024;20
blkx;pixel_accuracy;0.9817;20
blkx;mean_accuracy;0.8855;20
blkx;mean_IU;0.8586;20
blkx;frequency_weighted_IU;0.9678;20
blkx;precision-micro;0.9817;20
blkx;recall-micro;0.9817;20
blkx;jaccard-micro;0.9648;20
blkx;precision-macro;0.8855;20
blkx;recall-macro;0.9236;20
blkx;jaccard-macro;0.8677;20
blkx;precision-weighted;0.9844;20
blkx;recall-weighted;0.9817;20
blkx;jaccard-weighted;0.9673;20
blkx;matthews;0.9635;20
